name,manufacturer,msrp,nvme_slot_count,ethernet,photo,socket,form_factor,max_memory,memory_slots,color
Gigabyte B450M DS3H,Gigabyte ,124.94,,,,AM4,Micro ATX,128,4,Black / Silver
Gigabyte B550M AORUS ELITE,Gigabyte ,132.27,,,,AM4,Micro ATX,128,4,Black / Orange
Asus ROG STRIX TRX40-XE GAMING,Asus ,,,,,sTRX4,ATX,256,8,Black
Gigabyte X670E AORUS MASTER (rev. 1.0),Gigabyte ,391.71,,,,AM5,EATX,192,4,Black / Silver
ASRock B650E Taichi Lite,ASRock ,259.99,,,,AM5,EATX,192,4,Black / Gray
ASRock Z790 Riptide WiFi,ASRock ,199.99,,,,LGA1700,ATX,192,4,Black
Asus TUF GAMING B760-PLUS WIFI,Asus ,179.99,,,,LGA1700,ATX,192,4,Black
Gigabyte Z790 GAMING X AX,Gigabyte ,199.99,,,,LGA1700,ATX,192,4,Black
Gigabyte B650M GAMING X AX,Gigabyte ,214.86,,,,AM5,Micro ATX,192,4,Black
ASRock B760M-HDV/M.2 D4,ASRock ,89.99,,,,LGA1700,Micro ATX,64,2,Silver / Black
MSI MAG Z690 TOMAHAWK WIFI DDR4,MSI ,,,,,LGA1700,ATX,128,4,Black / Silver
Asus PRIME Z390-P,Asus ,199.94,,,,LGA1151,ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI II,MSI ,399.99,,,,LGA1700,ATX,192,4,Black
Gigabyte A620M S2H,Gigabyte ,89.99,,,,AM5,Micro ATX,96,2,Gray / Black
ASRock B660M-HDV,ASRock ,94.99,,,,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG B760I EDGE WIFI,MSI ,206.61,,,,LGA1700,Mini ITX,96,2,Black / Silver
MSI PRO B650M-B,MSI ,,,,,AM5,Micro ATX,96,2,Black
Asus ROG STRIX Z690-A GAMING WIFI D4,Asus ,397.86,,,,LGA1700,ATX,128,4,Silver / Black
Asus PRIME B760M-A,Asus ,145.54,,,,LGA1700,Micro ATX,128,4,Silver / Black
MSI MEG X670E ACE,MSI ,679.99,,,,AM5,EATX,192,4,Black / Gold
ASRock X670E Taichi Carrara,ASRock ,429.99,,,,AM5,EATX,192,4,Black / White
MSI MEG Z790 ACE MAX,MSI ,699.99,,,,LGA1700,EATX,192,4,Black
MSI PRO Z690-A WIFI DDR4,MSI ,189.99,,,,LGA1700,ATX,128,4,Black / Silver
MSI Z390-A PRO,MSI ,246.18,,,,LGA1151,ATX,128,4,Brown / Black
Gigabyte B650M DS3H,Gigabyte ,193.53,,,,AM5,Micro ATX,192,4,Brown / Black
Gigabyte B650M K,Gigabyte ,119.99,,,,AM5,Micro ATX,192,4,Brown / Silver
ASRock H310CM-DVS,ASRock ,62.8,,,,LGA1151,Micro ATX,32,2,Black
Asus PRIME B450M-K II,Asus ,91.17,,,,AM4,Micro ATX,64,2,Black
Asus TUF GAMING Z790-PLUS WIFI D4,Asus ,199.99,,,,LGA1700,ATX,128,4,Black
Gigabyte B550 AORUS ELITE V2,Gigabyte ,173.32,,,,AM4,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,Asus ,579.99,,,,AM4,ATX,128,4,Black / Silver
Asus PRIME Z390-A,Asus ,284,,,,LGA1151,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,ASRock ,169.99,,,,LGA1700,ATX,192,4,Silver / Black
MSI PRO B760-VC WIFI IV,MSI ,159.99,,,,LGA1700,ATX,256,4,Black / Silver
MSI PRO Z790-VC WIFI,MSI ,159.99,,,,LGA1700,ATX,192,4,Black
Asus PRIME A520M-A II/CSM,Asus ,79.99,,,,AM4,Micro ATX,128,4,Silver / Black
MSI MPG B650 CARBON WIFI,MSI ,458.47,,,,AM5,ATX,192,4,Black
ASRock B450M/AC,ASRock ,82.38,,,,AM4,Micro ATX,64,4,Black
ASRock A520M-ITX/ac,ASRock ,119.17,,,,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B650M AORUS ELITE AX ICE,Gigabyte ,,,,,AM5,Micro ATX,192,4,Silver
MSI Z790 GAMING PRO WIFI,MSI ,189.99,,,,LGA1700,ATX,192,4,Black
Gigabyte B650 UD AC,Gigabyte ,169.99,,,,AM5,ATX,192,4,Black / Gray
Asus PRIME B760M-A WIFI D4,Asus ,188.54,,,,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,Gigabyte ,298,,,,LGA1151,ATX,128,4,Black / Silver
ASRock B550 Pro4,ASRock ,119.67,,,,AM4,ATX,128,4,Silver / Black
Gigabyte H610I,Gigabyte ,119.99,,,,LGA1700,Mini ITX,64,2,Black
MSI MAG B660 TOMAHAWK WIFI DDR4,MSI ,235.49,,,,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 EDGE WIFI,MSI ,291.94,,,,LGA1700,ATX,192,4,Silver / Black
Asus PRIME H610I-PLUS D4-CSM,Asus ,112.99,,,,LGA1700,Mini ITX,64,2,Silver / Black
ASRock B760M Steel Legend WiFi,ASRock ,159.99,,,,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME B660-PLUS D4,Asus ,149.02,,,,LGA1700,ATX,128,4,Silver / Black
MSI MAG B550M MORTAR MAX WIFI,MSI ,149.99,,,,AM4,Micro ATX,128,4,Silver / Black
ASRock B760M Pro RS,ASRock ,,,,,LGA1700,Micro ATX,192,4,Silver / Black
Asus ROG STRIX X570-E GAMING WIFI II,Asus ,459,,,,AM4,ATX,128,4,Black
Asus TUF GAMING B550-PLUS,Asus ,157,,,,AM4,ATX,128,4,Black
ASRock B650E PG-ITX WIFI,ASRock ,289.99,,,,AM5,Mini ITX,96,2,Black / Red
Asus TUF GAMING B650-PLUS,Asus ,260.54,,,,AM5,ATX,128,4,Black / Orange
Asus PRIME X670-P,Asus ,221.02,,,,AM5,ATX,192,4,Silver / Black
MSI PRO B550M-P GEN3,MSI ,103.6,,,,AM4,Micro ATX,128,4,Black
MSI B450 TOMAHAWK,MSI ,,,,,AM4,ATX,64,4,Black / Silver
ASRock B760M PG Riptide,ASRock ,129.99,,,,LGA1700,Micro ATX,192,4,Black / Blue
Gigabyte B760M AORUS ELITE AX,Gigabyte ,174.99,,,,LGA1700,Micro ATX,192,4,Black / Silver
Asus PRIME H510M-K,Asus ,129.06,,,,LGA1200,Micro ATX,64,2,Black / Silver
